"Points : 0", "Points : 1", "Points : 2","i", "j", "k","active : 0", "active : 1", "active : 2"
0.6122448979591839, -1.789473684210526, -0.1, 25, 1, 0, 0, 0, 0
0.8367346938775517, -1.789473684210526, -0.1, 26, 1, 0, 0, 0, 0
1.061224489795918, -1.789473684210526, -0.1, 27, 1, 0, 0, 0, 0
1.285714285714286, -1.789473684210526, -0.1, 28, 1, 0, 0, 0, 0
1.510204081632653, -1.789473684210526, -0.1, 29, 1, 0, 0, 0, 0
1.73469387755102, -1.789473684210526, -0.1, 30, 1, 0, 0, 0, 0
1.959183673469388, -1.789473684210526, -0.1, 31, 1, 0, 0, 0, 0
2.183673469387754, -1.789473684210526, -0.1, 32, 1, 0, 0, 0, 0
2.408163265306122, -1.789473684210526, -0.1, 33, 1, 0, 0, 0, 0
2.63265306122449, -1.789473684210526, -0.1, 34, 1, 0, 0, 0, 0
2.857142857142858, -1.789473684210526, -0.1, 35, 1, 0, 0, 0, 0
3.081632653061225, -1.789473684210526, -0.1, 36, 1, 0, 0, 0, 0
3.306122448979592, -1.789473684210526, -0.1, 37, 1, 0, 0, 0, 0
3.530612244897959, -1.789473684210526, -0.1, 38, 1, 0, 0, 0, 0
3.755102040816327, -1.789473684210526, -0.1, 39, 1, 0, 0, 0, 0
3.979591836734695, -1.789473684210526, -0.1, 40, 1, 0, 0, 0, 0
4.204081632653061, -1.789473684210526, -0.1, 41, 1, 0, 0, 0, 0
4.428571428571429, -1.789473684210526, -0.1, 42, 1, 0, 0, 0, 0
4.653061224489795, -1.789473684210526, -0.1, 43, 1, 0, 0, 0, 0
4.877551020408163, -1.789473684210526, -0.1, 44, 1, 0, 0, 0, 0
5.102040816326531, -1.789473684210526, -0.1, 45, 1, 0, 0, 0, 0
5.326530612244898, -1.789473684210526, -0.1, 46, 1, 0, 0, 0, 0
5.551020408163264, -1.789473684210526, -0.1, 47, 1, 0, 0, 0, 0
5.775510204081632, -1.789473684210526, -0.1, 48, 1, 0, 0, 0, 0
6, -1.789473684210526, -0.1, 49, 1, 0, 0, 0, 0
-5, -1.578947368421053, -0.1, 0, 2, 0, 0, 0, 0
-4.775510204081633, -1.578947368421053, -0.1, 1, 2, 0, 0, 0, 0
-4.551020408163265, -1.578947368421053, -0.1, 2, 2, 0, 0, 0, 0
-4.326530612244898, -1.578947368421053, -0.1, 3, 2, 0, 0, 0, 0
-4.102040816326531, -1.578947368421053, -0.1, 4, 2, 0, 0, 0, 0
-3.877551020408163, -1.578947368421053, -0.1, 5, 2, 0, 0, 0, 0
-3.653061224489796, -1.578947368421053, -0.1, 6, 2, 0, 0, 0, 0
-3.428571428571429, -1.578947368421053, -0.1, 7, 2, 0, 0, 0, 0
-3.204081632653061, -1.578947368421053, -0.1, 8, 2, 0, 0, 0, 0
-2.979591836734694, -1.578947368421053, -0.1, 9, 2, 0, 0, 0, 0
-2.755102040816326, -1.578947368421053, -0.1, 10, 2, 0, 0, 0, 0
-2.530612244897959, -1.578947368421053, -0.1, 11, 2, 0, 0, 0, 0
-2.306122448979592, -1.578947368421053, -0.1, 12, 2, 0, 0, 0, 0
-2.081632653061224, -1.578947368421053, -0.1, 13, 2, 0, 0, 0, 0
-1.857142857142857, -1.578947368421053, -0.1, 14, 2, 0, 0, 0, 0
-1.63265306122449, -1.578947368421053, -0.1, 15, 2, 0, 0, 0, 0
-1.408163265306123, -1.578947368421053, -0.1, 16, 2, 0, 0, 0, 0
-1.183673469387755, -1.578947368421053, -0.1, 17, 2, 0, 0, 0, 0
-0.9591836734693873, -1.578947368421053, -0.1, 18, 2, 0, 0, 0, 0
-0.7346938775510203, -1.578947368421053, -0.1, 19, 2, 0, 0, 0, 0
-0.5102040816326525, -1.578947368421053, -0.1, 20, 2, 0, 0, 0, 0
-0.2857142857142856, -1.578947368421053, -0.1, 21, 2, 0, 0, 0, 0
-0.06122448979591866, -1.578947368421053, -0.1, 22, 2, 0, 0, 0, 0
0.1632653061224492, -1.578947368421053, -0.1, 23, 2, 0, 0, 0, 0
0.3877551020408161, -1.578947368421053, -0.1, 24, 2, 0, 0, 0, 0
0.6122448979591839, -1.578947368421053, -0.1, 25, 2, 0, 0, 0, 0
0.8367346938775517, -1.578947368421053, -0.1, 26, 2, 0, 0, 0, 0
1.061224489795918, -1.578947368421053, -0.1, 27, 2, 0, 0, 0, 0
1.285714285714286, -1.578947368421053, -0.1, 28, 2, 0, 0, 0, 0
1.510204081632653, -1.578947368421053, -0.1, 29, 2, 0, 0, 0, 0
1.73469387755102, -1.578947368421053, -0.1, 30, 2, 0, 0, 0, 0
1.959183673469388, -1.578947368421053, -0.1, 31, 2, 0, 0, 0, 0
2.183673469387754, -1.578947368421053, -0.1, 32, 2, 0, 0, 0, 0
2.408163265306122, -1.578947368421053, -0.1, 33, 2, 0, 0, 0, 0
2.63265306122449, -1.578947368421053, -0.1, 34, 2, 0, 0, 0, 0
2.857142857142858, -1.578947368421053, -0.1, 35, 2, 0, 0, 0, 0
3.081632653061225, -1.578947368421053, -0.1, 36, 2, 0, 0, 0, 0
3.306122448979592, -1.578947368421053, -0.1, 37, 2, 0, 0, 0, 0
3.530612244897959, -1.578947368421053, -0.1, 38, 2, 0, 0, 0, 0
3.755102040816327, -1.578947368421053, -0.1, 39, 2, 0, 0, 0, 0
3.979591836734695, -1.578947368421053, -0.1, 40, 2, 0, 0, 0, 0
4.204081632653061, -1.578947368421053, -0.1, 41, 2, 0, 0, 0, 0
4.428571428571429, -1.578947368421053, -0.1, 42, 2, 0, 0, 0, 0
4.653061224489795, -1.578947368421053, -0.1, 43, 2, 0, 0, 0, 0
4.877551020408163, -1.578947368421053, -0.1, 44, 2, 0, 0, 0, 0
5.102040816326531, -1.578947368421053, -0.1, 45, 2, 0, 0, 0, 0
5.326530612244898, -1.578947368421053, -0.1, 46, 2, 0, 0, 0, 0
5.551020408163264, -1.578947368421053, -0.1, 47, 2, 0, 0, 0, 0
5.775510204081632, -1.578947368421053, -0.1, 48, 2, 0, 0, 0, 0
6, -1.578947368421053, -0.1, 49, 2, 0, 0, 0, 0
-5, -1.368421052631579, -0.1, 0, 3, 0, 0, 0, 0
-4.775510204081633, -1.368421052631579, -0.1, 1, 3, 0, 0, 0, 0
-4.551020408163265, -1.368421052631579, -0.1, 2, 3, 0, 0, 0, 0
-4.326530612244898, -1.368421052631579, -0.1, 3, 3, 0, 0, 0, 0
-4.102040816326531, -1.368421052631579, -0.1, 4, 3, 0, 0, 0, 0
-3.877551020408163, -1.368421052631579, -0.1, 5, 3, 0, 0, 0, 0
-3.653061224489796, -1.368421052631579, -0.1, 6, 3, 0, 0, 0, 0
-3.428571428571429, -1.368421052631579, -0.1, 7, 3, 0, 0, 0, 0
-3.204081632653061, -1.368421052631579, -0.1, 8, 3, 0, 0, 0, 0
-2.979591836734694, -1.368421052631579, -0.1, 9, 3, 0, 0, 0, 0
-2.755102040816326, -1.368421052631579, -0.1, 10, 3, 0, 0, 0, 0
